run_id,backbone,regime,head,seed,split_seed,role,status,checkpoint_hash,metrics_path
resnet50__frozen__independent_attributes__s0,resnet50,frozen,independent_attributes,0,0,principal_predictor,NOT_RUN,,
resnet50__frozen__independent_attributes__s1,resnet50,frozen,independent_attributes,1,0,principal_predictor,NOT_RUN,,
resnet50__frozen__independent_attributes__s2,resnet50,frozen,independent_attributes,2,0,principal_predictor,NOT_RUN,,
resnet50__frozen__independent_attributes__s3,resnet50,frozen,independent_attributes,3,0,principal_predictor,NOT_RUN,,
resnet50__frozen__independent_attributes__s4,resnet50,frozen,independent_attributes,4,0,principal_predictor,NOT_RUN,,
resnet50__frozen__joint_records__s0,resnet50,frozen,joint_records,0,0,principal_predictor,NOT_RUN,,
resnet50__frozen__joint_records__s1,resnet50,frozen,joint_records,1,0,principal_predictor,NOT_RUN,,
resnet50__frozen__joint_records__s2,resnet50,frozen,joint_records,2,0,principal_predictor,NOT_RUN,,
resnet50__frozen__joint_records__s3,resnet50,frozen,joint_records,3,0,principal_predictor,NOT_RUN,,
resnet50__frozen__joint_records__s4,resnet50,frozen,joint_records,4,0,principal_predictor,NOT_RUN,,
resnet50__finetune__independent_attributes__s0,resnet50,finetune,independent_attributes,0,0,principal_predictor,NOT_RUN,,
resnet50__finetune__independent_attributes__s1,resnet50,finetune,independent_attributes,1,0,principal_predictor,NOT_RUN,,
resnet50__finetune__independent_attributes__s2,resnet50,finetune,independent_attributes,2,0,principal_predictor,NOT_RUN,,
resnet50__finetune__independent_attributes__s3,resnet50,finetune,independent_attributes,3,0,principal_predictor,NOT_RUN,,
resnet50__finetune__independent_attributes__s4,resnet50,finetune,independent_attributes,4,0,principal_predictor,NOT_RUN,,
resnet50__finetune__joint_records__s0,resnet50,finetune,joint_records,0,0,principal_predictor,NOT_RUN,,
resnet50__finetune__joint_records__s1,resnet50,finetune,joint_records,1,0,principal_predictor,NOT_RUN,,
resnet50__finetune__joint_records__s2,resnet50,finetune,joint_records,2,0,principal_predictor,NOT_RUN,,
resnet50__finetune__joint_records__s3,resnet50,finetune,joint_records,3,0,principal_predictor,NOT_RUN,,
resnet50__finetune__joint_records__s4,resnet50,finetune,joint_records,4,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__independent_attributes__s0,convnext_tiny,frozen,independent_attributes,0,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__independent_attributes__s1,convnext_tiny,frozen,independent_attributes,1,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__independent_attributes__s2,convnext_tiny,frozen,independent_attributes,2,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__independent_attributes__s3,convnext_tiny,frozen,independent_attributes,3,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__independent_attributes__s4,convnext_tiny,frozen,independent_attributes,4,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__joint_records__s0,convnext_tiny,frozen,joint_records,0,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__joint_records__s1,convnext_tiny,frozen,joint_records,1,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__joint_records__s2,convnext_tiny,frozen,joint_records,2,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__joint_records__s3,convnext_tiny,frozen,joint_records,3,0,principal_predictor,NOT_RUN,,
convnext_tiny__frozen__joint_records__s4,convnext_tiny,frozen,joint_records,4,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__independent_attributes__s0,convnext_tiny,finetune,independent_attributes,0,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__independent_attributes__s1,convnext_tiny,finetune,independent_attributes,1,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__independent_attributes__s2,convnext_tiny,finetune,independent_attributes,2,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__independent_attributes__s3,convnext_tiny,finetune,independent_attributes,3,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__independent_attributes__s4,convnext_tiny,finetune,independent_attributes,4,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__joint_records__s0,convnext_tiny,finetune,joint_records,0,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__joint_records__s1,convnext_tiny,finetune,joint_records,1,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__joint_records__s2,convnext_tiny,finetune,joint_records,2,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__joint_records__s3,convnext_tiny,finetune,joint_records,3,0,principal_predictor,NOT_RUN,,
convnext_tiny__finetune__joint_records__s4,convnext_tiny,finetune,joint_records,4,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__independent_attributes__s0,dinov2_vits14,frozen,independent_attributes,0,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__independent_attributes__s1,dinov2_vits14,frozen,independent_attributes,1,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__independent_attributes__s2,dinov2_vits14,frozen,independent_attributes,2,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__independent_attributes__s3,dinov2_vits14,frozen,independent_attributes,3,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__independent_attributes__s4,dinov2_vits14,frozen,independent_attributes,4,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__joint_records__s0,dinov2_vits14,frozen,joint_records,0,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__joint_records__s1,dinov2_vits14,frozen,joint_records,1,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__joint_records__s2,dinov2_vits14,frozen,joint_records,2,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__joint_records__s3,dinov2_vits14,frozen,joint_records,3,0,principal_predictor,NOT_RUN,,
dinov2_vits14__frozen__joint_records__s4,dinov2_vits14,frozen,joint_records,4,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__independent_attributes__s0,dinov2_vits14,finetune,independent_attributes,0,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__independent_attributes__s1,dinov2_vits14,finetune,independent_attributes,1,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__independent_attributes__s2,dinov2_vits14,finetune,independent_attributes,2,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__independent_attributes__s3,dinov2_vits14,finetune,independent_attributes,3,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__independent_attributes__s4,dinov2_vits14,finetune,independent_attributes,4,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__joint_records__s0,dinov2_vits14,finetune,joint_records,0,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__joint_records__s1,dinov2_vits14,finetune,joint_records,1,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__joint_records__s2,dinov2_vits14,finetune,joint_records,2,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__joint_records__s3,dinov2_vits14,finetune,joint_records,3,0,principal_predictor,NOT_RUN,,
dinov2_vits14__finetune__joint_records__s4,dinov2_vits14,finetune,joint_records,4,0,principal_predictor,NOT_RUN,,
