planning_run_id,implementation_run_id,reason
resnet50__frozen__independent_attributes__s0,resnet50_frozen_independent_s0,Same registered model; short canonical filesystem ID
resnet50__frozen__independent_attributes__s1,resnet50_frozen_independent_s1,Same registered model; short canonical filesystem ID
resnet50__frozen__independent_attributes__s2,resnet50_frozen_independent_s2,Same registered model; short canonical filesystem ID
resnet50__frozen__independent_attributes__s3,resnet50_frozen_independent_s3,Same registered model; short canonical filesystem ID
resnet50__frozen__independent_attributes__s4,resnet50_frozen_independent_s4,Same registered model; short canonical filesystem ID
resnet50__frozen__joint_records__s0,resnet50_frozen_joint_s0,Same registered model; short canonical filesystem ID
resnet50__frozen__joint_records__s1,resnet50_frozen_joint_s1,Same registered model; short canonical filesystem ID
resnet50__frozen__joint_records__s2,resnet50_frozen_joint_s2,Same registered model; short canonical filesystem ID
resnet50__frozen__joint_records__s3,resnet50_frozen_joint_s3,Same registered model; short canonical filesystem ID
resnet50__frozen__joint_records__s4,resnet50_frozen_joint_s4,Same registered model; short canonical filesystem ID
resnet50__finetune__independent_attributes__s0,resnet50_finetune_independent_s0,Same registered model; short canonical filesystem ID
resnet50__finetune__independent_attributes__s1,resnet50_finetune_independent_s1,Same registered model; short canonical filesystem ID
resnet50__finetune__independent_attributes__s2,resnet50_finetune_independent_s2,Same registered model; short canonical filesystem ID
resnet50__finetune__independent_attributes__s3,resnet50_finetune_independent_s3,Same registered model; short canonical filesystem ID
resnet50__finetune__independent_attributes__s4,resnet50_finetune_independent_s4,Same registered model; short canonical filesystem ID
resnet50__finetune__joint_records__s0,resnet50_finetune_joint_s0,Same registered model; short canonical filesystem ID
resnet50__finetune__joint_records__s1,resnet50_finetune_joint_s1,Same registered model; short canonical filesystem ID
resnet50__finetune__joint_records__s2,resnet50_finetune_joint_s2,Same registered model; short canonical filesystem ID
resnet50__finetune__joint_records__s3,resnet50_finetune_joint_s3,Same registered model; short canonical filesystem ID
resnet50__finetune__joint_records__s4,resnet50_finetune_joint_s4,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__independent_attributes__s0,convnext_tiny_frozen_independent_s0,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__independent_attributes__s1,convnext_tiny_frozen_independent_s1,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__independent_attributes__s2,convnext_tiny_frozen_independent_s2,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__independent_attributes__s3,convnext_tiny_frozen_independent_s3,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__independent_attributes__s4,convnext_tiny_frozen_independent_s4,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__joint_records__s0,convnext_tiny_frozen_joint_s0,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__joint_records__s1,convnext_tiny_frozen_joint_s1,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__joint_records__s2,convnext_tiny_frozen_joint_s2,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__joint_records__s3,convnext_tiny_frozen_joint_s3,Same registered model; short canonical filesystem ID
convnext_tiny__frozen__joint_records__s4,convnext_tiny_frozen_joint_s4,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__independent_attributes__s0,convnext_tiny_finetune_independent_s0,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__independent_attributes__s1,convnext_tiny_finetune_independent_s1,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__independent_attributes__s2,convnext_tiny_finetune_independent_s2,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__independent_attributes__s3,convnext_tiny_finetune_independent_s3,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__independent_attributes__s4,convnext_tiny_finetune_independent_s4,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__joint_records__s0,convnext_tiny_finetune_joint_s0,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__joint_records__s1,convnext_tiny_finetune_joint_s1,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__joint_records__s2,convnext_tiny_finetune_joint_s2,Same registered model; short canonical filesystem ID
convnext_tiny__finetune__joint_records__s3,convnext_tiny_finetune_joint_s3,Same registered model; short canonical filesystem ID
